DVD_Title|Studio|Released|Price|Rating|Year|Genre|DVD_ReleaseDate|ID
Clouds Are Not Spheres: The Fractal Theory Of Benoit Mandelbrot|Films for the Humanities ...||169.95|NR|UNK|Special Interest|2007-05-22 00:00:00|208153
Clouds Of Sils Maria|Paramount||29.99|R|2014|Foreign|2015-07-14 00:00:00|280504
Clouds Of Sils Maria (Rental Ready)|Paramount||29.99|R|2014|Foreign|2015-07-14 00:00:00|280679
Clouds Of War (4-Disc)|Polart||59.95|NR|1973|Foreign|2010-01-19 00:00:00|175366
Clouds Of War (4-Disc/ dist. by Facets)|Polart||79.95|NR|1973|Foreign|2004-01-13 00:00:00|38376
Clouds Weather And Life|United Learning||95|NR|UNK|Special Interest|2001-10-23 00:00:00|203540
Clouds: Messengers Of The Weather|Educational Video Network||39.95|NR|UNK|Special Interest|2006-02-28 00:00:00|81475
Cloudstreet|Acorn Media||49.99|NR|2011|Drama|2012-09-04 00:00:00|231053
Cloudy|Live Oak Media||29.95|NR|2007|Special Interest|2007-07-31 00:00:00|240746
Cloudy With A Chance Of Meatballs|Sony Pictures||9.99|PG|2009|Animation|2010-01-05 00:00:00|170182
Cloudy With A Chance Of Meatballs (2-Disc)|Sony Pictures||26.99|PG|2009|Animation|2010-01-05 00:00:00|170170
Cloudy With A Chance Of Meatballs (3-D/ Blu-ray)|Sony Pictures||26.99|PG|2009|Animation|2010-06-22 00:00:00|183025
Cloudy With A Chance Of Meatballs (Blu-ray)|Sony Pictures||14.99|PG|2009|Animation|2010-01-05 00:00:00|170174
Cloudy With A Chance Of Meatballs (UMD)|Sony Pictures||14.99|PG|2009|Animation|2010-01-05 00:00:00|170207
Cloudy With A Chance Of Meatballs / Cloudy With A Chance Of Meatballs 2|Sony Pictures||19.99|PG|VAR|Animation|2015-09-14 00:00:00|282080
Cloudy With A Chance Of Meatballs / Hotel Transylvania / Smurfs (2011)|Sony Pictures||19.99|PG|VAR|Animation|2015-09-14 00:00:00|282091
Cloudy With A Chance Of Meatballs 2 (Blu-ray 3D/ DVD & Blu-ray Combo w/ Digital Copy)|Sony Pictures||26.99|PG|2013|Animation|2014-01-28 00:00:00|256452
Cloudy With A Chance Of Meatballs 2 (DVD & Blu-ray Combo w/ Digital Copy)|Sony Pictures||19.99|PG|2013|Animation|2014-01-28 00:00:00|256466
Cloudy With A Chance Of Meatballs 2 (w/ Digital Copy)|Sony Pictures||14.99|PG|2013|Animation|2014-01-28 00:00:00|256455
Clouseau: Live In Het Sportpaleis|EMI International||17.99|NR|UNK|Music|2008-05-06 00:00:00|134231
Clover|RHI Entertainment||14.93|NR|1997|Drama|2011-02-22 00:00:00|193618
Clover Bend (Special Edition)|IFILM||19.98|NR|2001|Drama|2005-06-14 00:00:00|64601
Cloverfield (Paramount)|Paramount||14.98|PG-13|2008|Action/Adventure|2011-10-04 00:00:00|212135
Cloverfield (Paramount) / Nick Of Time / Escape From L.A.|Paramount||22.99|VAR|VAR|VAR|2009-05-26 00:00:00|157114
Cloverfield (Paramount/ Blu-ray)|Paramount||22.99|PG-13|2008|Action/Adventure|2008-06-03 00:00:00|136860
Cloverfield (Paramount/ Blu-ray) / Sleepy Hollow (Blu-ray) (Side-By-Side)|Paramount||42.99|VAR|VAR|VAR|2008-12-30 00:00:00|149681
Cloverfield (Paramount/ Blu-ray) / Sleepy Hollow (Blu-ray/ Back-To-Back)|Paramount||42.99|VAR|VAR|VAR|2008-12-30 00:00:00|149672
Cloverfield (Paramount/ Blu-ray/ Checkpoint)|Paramount||22.99|PG-13|2008|Action/Adventure|2008-06-03 00:00:00|240278
Cloverfield (Paramount/ Special Edition w/ Movie Money)|Paramount||19.99|PG-13|2008|Action/Adventure|2009-05-05 00:00:00|156620
Cloverfield (Paramount/ Special Edition)|Paramount||14.99|PG-13|2008|Action/Adventure|2008-04-22 00:00:00|133256
Cloverfield (Paramount/ Special Edition/ Checkpoint)|Paramount||14.99|PG-13|2008|Action/Adventure|2008-04-22 00:00:00|140005
Cloverfield (Paramount/ Special Edition/ En Espanol)|Paramount||14.99|PG-13|2008|Action/Adventure|2008-09-16 00:00:00|140030
Cloverfield (Paramount/ Special Edition/ En Espanol/ Checkpoint)|Paramount||14.99|PG-13|2008|Action/Adventure|2008-09-16 00:00:00|140021
Cloverfield (Paramount/ Special Edition/ Halloween 3-D Lenticular Packaging)|Paramount||14.99|PG-13|2008|Action/Adventure|2009-09-15 00:00:00|164737
Cloverfield (Warner Brothers)|Warner Brothers||5.97|PG-13|2008|Action/Adventure|2014-04-15 00:00:00|261336
Cloverfield (Warner Brothers) / Dark City (1998/ Director's Cut)|Warner Brothers||9.97|VAR|VAR|VAR|2014-10-28 00:00:00|267248
Cloverfield (Warner Brothers/ Blu-ray)|Warner Brothers||14.97|PG-13|2008|Action/Adventure|2014-04-15 00:00:00|261446
Cloverfield (Warner Brothers/ Blu-ray/ Old Version)|Warner Brothers||14.97|PG-13|2008|Action/Adventure|2013-01-08 00:00:00|239063
Cloverfield (Warner Brothers/ Blu-ray/ Steelbook)|Warner Brothers||24.98|PG-13|2008|Action/Adventure|2014-03-25 00:00:00|259591
Cloverfield (Warner Brothers/ Old Version)|Warner Brothers||5.97|PG-13|2008|Action/Adventure|2013-01-08 00:00:00|239066
Clown (Archive Collection/ On Demand DVD-R)|Warner Brothers Digital Dist.||17.99|NR|1953|Drama|2012-07-12 00:00:00|246923
Clown At Midnight / Phantom Racer|RHI Entertainment||14.93|VAR|VAR|Horror|2010-10-05 00:00:00|185860
Clown Hunt|Seminal Films||19.95|NR|2010|Comedy|2012-03-20 00:00:00|221486
